imdb_rating,metascore,tomato,title,year,viewLOVE,meta,award,nomination
56,,38,.45,2006,18,na,N/A,NA
69,45,72,Adventures in Babysitting,1987,-3,average,2 wins & 4 nominations.,4
38,12,4,The Adventures of Pluto Nash,2002,34,bad,1 win & 12 nominations.,12
53,36,12,Against the Ropes,2004,41,bad,2 nominations.,2
53,,56,American Pie Presents: Beta House,2007,-3,na,N/A,NA
51,,0,American Pie Presents: The Naked Mile,2006,51,na,1 nomination.,1
76,64,69,American Psycho,2000,7,good,8 wins & 13 nominations.,13
38,,11,American Psycho II: All American Girl,2002,27,na,N/A,NA
63,62,55,Ararat,2002,8,good,12 wins & 13 nominations.,13
63,54,59,Assault on Precinct 13,2005,4,average,1 win & 2 nominations.,2
67,58,68,Aurora Borealis,2005,-1,average,8 wins & 4 nominations.,4
75,88,94,Away from Her,2006,-19,good,Nominated for 2 Oscars. Another 62 wins & 39 nominations.,39
52,,47,Bait,2012,5,na,N/A,NA
67,59,71,The Best Man Holiday,2013,-4,average,3 wins & 15 nominations.,15
61,31,43,The Big Hit,1998,18,bad,N/A,NA
64,16,40,Billy Madison,1995,24,bad,1 nomination.,1
72,65,71,Black Christmas,1974,1,good,2 wins & 2 nominations.,2
67,52,57,Blade II,2002,10,average,6 wins & 10 nominations.,10
51,17,3,Bless the Child,2000,48,bad,1 win & 6 nominations.,6
57,,67,Blizzard,2003,-10,na,2 wins & 5 nominations.,5
49,,46,Blues Brothers 2000,1998,3,na,4 nominations.,4
59,35,41,Bollywood/Hollywood,2002,18,bad,3 wins & 8 nominations.,8
78,44,28,The Boondock Saints,1999,50,average,N/A,NA
54,54,25,Booty Call,1997,29,average,N/A,NA
79,72,95,Bowling for Columbine,2002,-16,good,Won 1 Oscar. Another 38 wins & 13 nominations.,14
70,74,84,Breach,2007,-14,good,1 win & 3 nominations.,3
48,24,0,Breaking Point,2009,48,bad,N/A,NA
54,48,46,Bride of Chucky,1998,8,average,5 wins & 7 nominations.,7
77,87,87,Brokeback Mountain,2005,-10,good,Won 3 Oscars. Another 139 wins & 131 nominations.,134
55,40,23,Bulletproof Monk,2003,32,average,1 nomination.,1
64,49,48,Cake,2014,16,average,Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.,8
60,,14,Canadian Bacon,1995,46,na,N/A,NA
52,,45,Camp Rock,2008,7,na,2 wins & 7 nominations.,7
52,,63,Camp Rock 2: The Final Jam,2010,-11,na,2 wins & 3 nominations.,3
73,88,90,Capote,2005,-17,good,Won 1 Oscar. Another 59 wins & 87 nominations.,88
25,,0,"Car 54, Where Are You?",1994,25,na,2 wins & 2 nominations.,2
40,19,9,The Cat in the Hat,2003,31,bad,7 wins & 22 nominations.,22
58,44,45,The Caveman's Valentine,2001,13,average,4 nominations.,4
50,28,13,Graveyard Shift,1990,37,bad,1 nomination.,1
70,54,57,Charlie Bartlett,2007,13,average,1 win.,NA
55,34,6,Cheaper by the Dozen 2,2005,49,bad,1 win & 5 nominations.,5
71,81,86,Chicago,2002,-15,good,Won 6 Oscars. Another 51 wins & 129 nominations.,135
63,48,51,Chloe,2009,12,average,3 wins & 5 nominations.,5
79,77,89,A Christmas Story,1983,-10,good,3 wins & 11 nominations.,11
80,69,80,Cinderella Man,2005,0,good,Nominated for 3 Oscars. Another 16 wins & 42 nominations.,45
57,,33,Circle of Two,1981,24,na,N/A,NA
59,33,13,The Mortal Instruments: City of Bones,2013,46,bad,6 wins & 11 nominations.,11
66,49,75,Class of 1984,1982,-9,average,2 nominations.,2
53,,58,Clubland,1999,-5,na,N/A,NA
67,80,89,Tristram Shandy: A Cock and Bull Story,2005,-22,good,2 wins & 14 nominations.,14
59,12,7,Cocktail,1988,52,bad,Nominated for 1 Golden Globe. Another 5 wins & 5 nominations.,6
50,37,12,Cold Creek Manor,2003,38,bad,1 nomination.,1
47,33,14,Confessions of a Teenage Drama Queen,2004,33,bad,1 win.,NA
62,,54,"A Cool, Dry Place",1998,8,na,N/A,NA
61,56,48,The Corruptor,1999,13,average,1 nomination.,1
77,66,74,Crash,2004,3,good,Won 3 Oscars. Another 64 wins & 112 nominations.,115
68,56,54,Cruel Intentions,1999,14,average,7 wins & 14 nominations.,14
72,61,63,Cube,1997,9,good,13 wins & 9 nominations.,9
56,,45,Cube²: Hypercube,2002,11,na,1 win & 1 nomination.,1
56,52,47,Dark Water,2005,9,average,6 nominations.,6
73,59,75,Dawn of the Dead,2004,-2,average,1 win & 17 nominations.,17
73,86,83,Dead Ringers,1988,-10,good,20 wins & 14 nominations.,14
64,38,42,Death to Smoochy,2002,22,bad,2 nominations.,2
60,,29,The House by the Lake,1976,31,na,3 wins.,NA
69,33,48,Detroit Rock City,1999,21,bad,3 nominations.,3
62,44,50,Devil,2010,12,average,2 nominations.,2
61,65,71,Dick,1999,-10,good,4 nominations.,4
69,65,81,The Dirties,2013,-12,good,9 wins & 11 nominations.,11
63,38,24,Don't Say a Word,2001,39,bad,1 nomination.,1
56,40,35,Double Impact,1991,21,average,2 nominations.,2
68,73,79,Down in the Delta,1998,-11,good,2 wins & 8 nominations.,8
55,32,20,Down to Earth,2001,35,bad,3 nominations.,3
46,29,14,Driven,2001,32,bad,1 win & 10 nominations.,10
69,61,70,Enemy,2013,-1,good,17 wins & 23 nominations.,23
64,52,63,Every Day,2018,1,average,1 nomination.,1
68,68,74,eXistenZ,1999,-6,good,3 wins & 14 nominations.,14
56,39,33,Exit Wounds,2001,23,bad,4 nominations.,4
70,71,97,Exotica,1994,-27,good,15 wins & 11 nominations.,11
69,,79,The F Word,2005,-10,na,3 nominations.,3
